Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q45723	reviewed	CT2BA_BACTI	Type-2Ba cytolytic delta-endotoxin (29 kDa cytolytic toxin)	cyt2Ba1 cyt2Ba7 cytB	Bacillus thuringiensis subsp. israelensis	263		10.1128/aem.63.7.2716-2721.1997	2.0	3D-structure;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0614; KW-0749; KW-0800; KW-0843	PF01338;		IPR035918;IPR001615;		Cyt1/cyt2 endotoxin family					sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; toxin activity [GO:0090729]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q45729	reviewed	C15AA_BACUT	Pesticidal crystal protein Cry15Aa (38 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXVA(a))	cry15Aa cryXVA(a)	Bacillus thuringiensis subsp. thompsoni	340		10.1128/jb.174.2.549-557.1992	2.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843	PF03318;	cd20226;	IPR004991;IPR011218;							sporulation resulting in formation of a cellular spore [GO:0030435]	toxin activity [GO:0090729]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q45758	reviewed	CR6BA_BACTU	Pesticidal crystal protein Cry6Ba (Crystaline entomocidal protoxin) (Crystal protein) (Insecticidal delta-endotoxin CryVIB(a))	cry6Ba cryVIb cryVIB(a)	Bacillus thuringiensis	395			2.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843		cd22656;		NF033928;	Cry6A endotoxin family					sporulation resulting in formation of a cellular spore [GO:0030435]	toxin activity [GO:0090729]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q45790	reviewed	CT1BA_BACTW	Type-1Ba cytolytic delta-endotoxin	cyt1Ba1	Bacillus thuringiensis subsp. neoleoensis	265			2.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF01338;		IPR035918;IPR001615;		Cyt1/cyt2 endotoxin family					sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; toxin activity [GO:0090729]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q45832	reviewed	SP2G_CLOAB	Probable sporulation sigma-E factor-processing peptidase (EC 3.4.23.-) (Membrane-associated aspartic protease) (Stage II sporulation protein GA)	spoIIGA CA_C1694	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	266		10.1128/jb.176.21.6572-6582.1994; 10.1016/0378-1119(94)00818-d; 10.1128/jb.183.16.4823-4838.2001	2.0	Aspartyl protease;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0064; KW-1003; KW-0378; KW-0472; KW-0645; KW-1185; KW-0749; KW-0812; KW-1133	PF03419;		IPR005081;	TIGR02854;	Peptidase U4 family		cac:CA_C1694;			asexual sporulation [GO:0030436]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; asexual sporulation [GO:0030436]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	44998189;
Q54QX2	reviewed	SP51_DICDI	Probable spore coat protein DDB_G0283555	DDB_G0283555	Dictyostelium discoideum (Social amoeba)	465		10.1038/nature03481	2.0	Reference proteome;Repeat;Signal;Sporulation	KW-1185; KW-0677; KW-0732; KW-0749	PF04562;		IPR007643;IPR003645;				ddi:DDB_G0283555;			sporulation resulting in formation of a cellular spore [GO:0030435]	spore wall [GO:0031160]; sporulation resulting in formation of a cellular spore [GO:0030435]	8624142;
Q54VL1	reviewed	STAB_DICDI	Stalk-specific protein B	staB DDB_G0294499	Dictyostelium discoideum (Social amoeba)	157		10.1046/j.1432-0436.1997.6140223.x; 10.1038/nature03481	2.0	Developmental protein;Differentiation;Reference proteome;Secreted;Signal;Sporulation	KW-0217; KW-0221; KW-1185; KW-0964; KW-0732; KW-0749	PF09478;		IPR008965;IPR012291;IPR019028;IPR052879;			PTHR33239:SF11;PTHR33239;	ddi:DDB_G0294499;			cell differentiation [GO:0030154]; extracellular matrix organization [GO:0030198]; sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular matrix structural constituent [GO:0005201]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; cell differentiation [GO:0030154]; extracellular matrix organization [GO:0030198]; sporulation resulting in formation of a cellular spore [GO:0030435]	8622478;
Q5F2J0	reviewed	PTP1_ENCIN	Polar tube protein 1 (Major polar tube protein) (Major PTP)	PTP1	Encephalitozoon intestinalis (Microsporidian parasite)	371		10.1128/iai.69.2.1016-1024.2001; 10.1128/iai.73.12.7906-7913.2005	2.0	Glycoprotein;Signal;Sporulation	KW-0325; KW-0732; KW-0749										sporulation resulting in formation of a cellular spore [GO:0030435]	polar tube [GO:0044099]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5KY22	reviewed	SSPH1_GEOKA	Small, acid-soluble spore protein H 1 (SASP H 1)	sspH1 GK2129	Geobacillus kaustophilus (strain HTA426)	60		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		gka:GK2129;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	32063980;
Q5KZP1	reviewed	SSPN_GEOKA	Small, acid-soluble spore protein N (SASP N)	sspN GK1560	Geobacillus kaustophilus (strain HTA426)	47		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08177;		IPR012612;		SspN family		gka:GK1560;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	89612139;
Q5KZT7	reviewed	SSPH2_GEOKA	Small, acid-soluble spore protein H 2 (SASP H 2)	sspH2 GK1514	Geobacillus kaustophilus (strain HTA426)	59		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		gka:GK1514;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	32063425;
Q5L0A5	reviewed	SSPO_GEOKA	Small, acid-soluble spore protein O (SASP O)	sspO GK1346	Geobacillus kaustophilus (strain HTA426)	49		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family		gka:GK1346;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	89613555;
Q5L0A7	reviewed	SSPP_GEOKA	Small, acid-soluble spore protein P (SASP P)	sspP GK1344	Geobacillus kaustophilus (strain HTA426)	48		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08179;		IPR012614;		SspP family		gka:GK1344;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	89613553;
Q5L293	reviewed	HPR_GEOKA	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr GK0652	Geobacillus kaustophilus (strain HTA426)	201		10.1093/nar/gkh970	2.0	DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	gka:GK0652;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5L2U0	reviewed	SSPK_GEOKA	Small, acid-soluble spore protein K (SASP K)	sspK GK0455	Geobacillus kaustophilus (strain HTA426)	53		10.1093/nar/gkh970	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		gka:GK0455;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	32062421;
Q5WAC9	reviewed	SP5G_SHOC1	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG ABC0077	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	98			2.0	Cell cycle;Cell division;Reference proteome;Septation;Sporulation	KW-0131; KW-0132; KW-1185; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	bcl:ABC0077;			division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	86924097;
Q5WD36	reviewed	TLP_SHOC1	Small, acid-soluble spore protein Tlp	tlp ABC3190	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	76			2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF19824;		IPR017524;	TIGR03090;	Tlp family		bcl:ABC3190;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5WGB8	reviewed	RACA_SHOC1	Chromosome-anchoring protein RacA	racA ABC2052	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	171			2.0	Cell cycle;Cell division;Chromosome partition;Coiled coil;Cytoplasm;DNA-binding;Reference proteome;Sporulation	KW-0131; KW-0132; KW-0159; KW-0175; KW-0963; KW-0238; KW-1185; KW-0749	PF13411;	cd04762;	IPR023522;IPR009061;IPR000551;		RacA family		bcl:ABC2052;			asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; regulation of DNA-templated transcription [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; double-stranded DNA binding [GO:0003690]; asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; regulation of DNA-templated transcription [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5WHU1	reviewed	HPR_SHOC1	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr ABC1529	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	196			2.0	DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	bcl:ABC1529;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5WIG0	reviewed	SSPK_SHOC1	Small, acid-soluble spore protein K (SASP K)	sspK ABC1307	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	51			2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		bcl:ABC1307;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	86925422;
Q635W3	reviewed	TGL_BACCZ	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)	tgl BCE33L3723	Bacillus cereus (strain ZK / E33L)	276		10.1128/jb.188.9.3382-3390.2006	2.0	Acyltransferase;Sporulation;Transferase	KW-0012; KW-0749; KW-0808	PF20085;		IPR020916;		Bacillus TGase family		bcz:BCE33L3723;			sporulation resulting in formation of a cellular spore [GO:0030435]	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q63BQ9	reviewed	RACA_BACCZ	Chromosome-anchoring protein RacA	racA BCE33L2067	Bacillus cereus (strain ZK / E33L)	180		10.1128/jb.188.9.3382-3390.2006	2.0	Cell cycle;Cell division;Chromosome partition;Coiled coil;Cytoplasm;DNA-binding;Sporulation	KW-0131; KW-0132; KW-0159; KW-0175; KW-0963; KW-0238; KW-0749			IPR023522;		RacA family		bcz:BCE33L2067;			asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; double-stranded DNA binding [GO:0003690]; asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	45022176;
Q63EV6	reviewed	HPR_BACCZ	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr BCE33L0955	Bacillus cereus (strain ZK / E33L)	185		10.1128/jb.188.9.3382-3390.2006	2.0	DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	bcz:BCE33L0955;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	93009973;
Q63G33	reviewed	SSPH_BACCZ	Small, acid-soluble spore protein H (SASP H)	sspH BCE33L0523	Bacillus cereus (strain ZK / E33L)	59		10.1128/jb.188.9.3382-3390.2006	2.0	Sporulation	KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		bcz:BCE33L0523;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q63HI5	reviewed	SP5G_BACCZ	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BCE33L0043	Bacillus cereus (strain ZK / E33L)	97		10.1128/jb.188.9.3382-3390.2006	2.0	Cell cycle;Cell division;Septation;Sporulation	KW-0131; KW-0132; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	bcz:BCE33L0043;			asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	93011022;
Q65FN2	reviewed	TGL_BACLD	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)	tgl BLi03298 BL02523	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	245		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Acyltransferase;Reference proteome;Sporulation;Transferase	KW-0012; KW-1185; KW-0749; KW-0808	PF20085;		IPR020916;		Bacillus TGase family		bld:BLi03298;bli:BL02523;			sporulation resulting in formation of a cellular spore [GO:0030435]	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; sporulation resulting in formation of a cellular spore [GO:0030435]	92860113;
Q65GP2	reviewed	SSPH_BACLD	Small, acid-soluble spore protein H (SASP H)	sspH BLi02904 BL01146	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	59		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		bld:BLi02904;bli:BL01146;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92860502;
Q65J23	reviewed	TLP_BACLD	Small, acid-soluble spore protein Tlp	tlp BLi02051 BL02944	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	78		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF19824;		IPR017524;	TIGR03090;	Tlp family		bld:BLi02051;bli:BL02944;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92861358;
Q65J24	reviewed	SSPN_BACLD	Small, acid-soluble spore protein N (SASP N)	sspN BLi02050 BL02943	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	47		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08177;		IPR012612;		SspN family		bld:BLi02050;bli:BL02943;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92861359;
Q65J28	reviewed	SSPO_BACLD	Small, acid-soluble spore protein O (SASP O)	sspO BLi02046 BL05191	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	48		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family		bld:BLi02046;bli:BL05191;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92861363;
Q65J29	reviewed	SSPP_BACLD	Small, acid-soluble spore protein P (SASP P)	sspP BLi02045 BL05190	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	48		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08179;		IPR012614;		SspP family		bld:BLi02045;bli:BL05190;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92861364;
Q65LS8	reviewed	HPR_BACLD	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr BLi01078 BL02906	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	206		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	bld:BLi01078;bli:BL02906;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	92862344;
Q65MA1	reviewed	SSPK_BACLD	Small, acid-soluble spore protein K (SASP K)	sspK BLi00879 BL05073	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	49		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		bld:BLi00879;bli:BL05073;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	92862539;
Q65NA4	reviewed	LIPC_BACLD	Spore germination lipase LipC (EC 3.-.-.-)	lipC ycsK BLi00504 BL02812	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	212		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	3D-structure;Hydrolase;Reference proteome;Sporulation	KW-0002; KW-0378; KW-1185; KW-0749	PF13472;		IPR051532;IPR013830;IPR036514;		'GDSL' lipolytic enzyme family	PTHR30383:SF27;PTHR30383;	bld:BLi00504;bli:BL02812;			sporulation resulting in formation of a cellular spore [GO:0030435]	lysophospholipase activity [GO:0004622]; sporulation resulting in formation of a cellular spore [GO:0030435]	92858537;
Q65PH2	reviewed	SP5G_BACLD	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BLi00062 BL00521	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	97		10.1159/000079829; 10.1186/gb-2004-5-10-r77	2.0	Cell cycle;Cell division;Reference proteome;Septation;Sporulation	KW-0131; KW-0132; KW-1185; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	bld:BLi00062;bli:BL00521;			asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	92858986;
Q6BML3	reviewed	RMD9_DEBHA	RNA-binding protein RMD9, mitochondrial	RMD9 DEHA2F04422g	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	622		10.1038/nature02579	2.0	Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Reference proteome;Sporulation;Transit peptide	KW-0472; KW-0496; KW-0999; KW-0597; KW-1185; KW-0749; KW-0809					RMD9 family		dha:DEHA2F04422g;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrial inner membrane [GO:0005743]; sporulation resulting in formation of a cellular spore [GO:0030435]	2903216;
Q6CKI3	reviewed	RMD9_KLULA	RNA-binding protein RMD9, mitochondrial	RMD9 KLLA0F10461g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	664		10.1038/nature02579	2.0	Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Reference proteome;Sporulation;Transit peptide	KW-0472; KW-0496; KW-0999; KW-0597; KW-1185; KW-0749; KW-0809					RMD9 family		kla:KLLA0_F10461g;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrial inner membrane [GO:0005743]; sporulation resulting in formation of a cellular spore [GO:0030435]	2895723;
Q6CKX6	reviewed	OSW5_KLULA	Outer spore wall protein 5	OSW5 KLLA0F07337g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	128		10.1038/nature02579	2.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF17062;		IPR031430;		OSW5 family		kla:KLLA0_F07337g;			sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; sporulation resulting in formation of a cellular spore [GO:0030435]	2895980;
Q6CWD4	reviewed	SMA2_KLULA	Spore membrane assembly protein 2	SMA2 KLLA0B04972g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	378		10.1038/nature02579	2.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133					SMA2 family		kla:KLLA0_B04972g;			sporulation resulting in formation of a cellular spore [GO:0030435]	prospore membrane [GO:0005628]; sporulation resulting in formation of a cellular spore [GO:0030435]	2897240;
Q6CYD8	reviewed	SHE10_KLULA	Outer spore wall assembly protein SHE10 (Sensitivity to high expression protein 10)	SHE10 KLLA0A01177g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	636		10.1038/nature02579	2.0	Coiled coil;Mitochondrion;Reference proteome;Ribonucleoprotein;Signal;Sporulation	KW-0175; KW-0496; KW-1185; KW-0687; KW-0732; KW-0749					SHE10 family		kla:KLLA0_A01177g;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; sporulation resulting in formation of a cellular spore [GO:0030435]	2896462;
Q6FKI5	reviewed	SMA2_CANGA	Spore membrane assembly protein 2	SMA2 CAGL0L11286g	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	366		10.1038/nature02579	2.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133					SMA2 family		cgr:2890958;			spore membrane bending pathway [GO:0070583]	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]; spore membrane bending pathway [GO:0070583]	2890958;
