gene	scaffold	scaffold.noperiod	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026595.1_67	NC_026595.1	NC_026595	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026596.1_67	NC_026596.1	NC_026596	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026597.1_56	NC_026597.1	NC_026597	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026605.1_46	NC_026605.1	NC_026605	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026606.1_75	NC_026606.1	NC_026606	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026607.2_34	NC_026607.2	NC_026607	GT63	GT63 UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026610.2_32	NC_026610.2	NC_026610							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026610.2_33	NC_026610.2	NC_026610							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026610.2_34	NC_026610.2	NC_026610							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_11	NC_026923.1	NC_026923							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_12	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_16	NC_026923.1	NC_026923							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_51	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_86	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_95	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_108	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_111	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_116	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_137	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_155	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_158	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_166	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_172	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_173	NC_026923.1	NC_026923	K02639	ferredoxin	Energy	Photosynthesis		Cytochrome b6f complex	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_175	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_180	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_187	NC_026923.1	NC_026923							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_201	NC_026923.1	NC_026923							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_202	NC_026923.1	NC_026923							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026923.1_207	NC_026923.1	NC_026923							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_11	NC_026924.1	NC_026924							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_12	NC_026924.1	NC_026924							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_22	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_23	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_37	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_38	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_44	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_87	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_106	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_128	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_142	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_149	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_169	NC_026924.1	NC_026924	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_169	NC_026924.1	NC_026924	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_178	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_181	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_187	NC_026924.1	NC_026924							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026924.1_199	NC_026924.1	NC_026924							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_11	NC_026926.1	NC_026926							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_20	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_25	NC_026926.1	NC_026926							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_32	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_34	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_35	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_39	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_56	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_61	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_69	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_83	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_91	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_136	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_155	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_171	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_197	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_199	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_201	NC_026926.1	NC_026926							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026926.1_216	NC_026926.1	NC_026926							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_18	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_19	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_24	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_136	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_157	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_163	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_164	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_189	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_195	NC_026927.1	NC_026927	K01462	defB;peptide deformylase	MISC	Sulfur metabolism	Conversion of S-methyl cysteine to cysteine	Additional metabolic pathways	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_202	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_203	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_205	NC_026927.1	NC_026927	GT11	"GT11 GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)"	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_208	NC_026927.1	NC_026927	GT6	"GT6 alpha-1,3-galactosyltransferase (EC 2.4.1.87); alpha-1,3 N-acetylgalactosaminyltransferase (EC 2.4.1.40); alpha-galactosyltransferase (EC 2.4.1.37); globoside alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.88)."	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_209	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_211	NC_026927.1	NC_026927							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_212	NC_026927.1	NC_026927							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_213	NC_026927.1	NC_026927							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_214	NC_026927.1	NC_026927	GT25	"GT25 lipopolysaccharide beta-1,4-galactosyltransferase (EC 2.4.1.-); beta-1,3-glucosyltransferase (EC 2.4.1.-); beta-1,2-glucosyltransferase (EC 2.4.1.-); beta-1,2-galactosyltransferase (EC 2.4.1.-); LPS beta-1,4-galactosyltransferase (EC 2.4.1.-); occidiofungin beta-xylosyltransferase (EC 2.4.2.-); UDP-Gal:procollagen beta-galactosyltransferase (EC 2.4.1.50)"	carbon utilization	CAZY		GlycosylTransferases	1	MB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_219	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_221	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_231	NC_026927.1	NC_026927	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_231	NC_026927.1	NC_026927	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_255	NC_026927.1	NC_026927	GT2	"GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)"	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_256	NC_026927.1	NC_026927							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026927.1_263	NC_026927.1	NC_026927							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_11	NC_026928.1	NC_026928							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_20	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_26	NC_026928.1	NC_026928							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_33	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_35	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_44	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_61	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_130	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_149	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_165	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_175	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_189	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_191	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_195	NC_026928.1	NC_026928							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_026928.1_210	NC_026928.1	NC_026928							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027119.1_81	NC_027119.1	NC_027119							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027119.1_129	NC_027119.1	NC_027119							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_13	NC_027130.1	NC_027130							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_14	NC_027130.1	NC_027130							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_26	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_40	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_48	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_94	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_100	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_116	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_146	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_153	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_171	NC_027130.1	NC_027130	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_171	NC_027130.1	NC_027130	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_184	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_186	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_190	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_192	NC_027130.1	NC_027130							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027130.1_205	NC_027130.1	NC_027130							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_11	NC_027132.1	NC_027132							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_20	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_26	NC_027132.1	NC_027132							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_34	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_36	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_62	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_144	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_161	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_186	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_187	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_192	NC_027132.1	NC_027132							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027132.1_206	NC_027132.1	NC_027132							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_124	NC_027204.1	NC_027204	GH16	"GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)"	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage"	Glycoside Hydrolases	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_156	NC_027204.1	NC_027204							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_183	NC_027204.1	NC_027204							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_190	NC_027204.1	NC_027204							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_199	NC_027204.1	NC_027204							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027204.1_200	NC_027204.1	NC_027204							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027293.1_16	NC_027293.1	NC_027293							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027296.1_54	NC_027296.1	NC_027296							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027296.1_55	NC_027296.1	NC_027296							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027296.1_56	NC_027296.1	NC_027296							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027297.1_101	NC_027297.1	NC_027297							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027329.1_109	NC_027329.1	NC_027329							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027329.1_120	NC_027329.1	NC_027329							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027331.1_44	NC_027331.1	NC_027331	GT63	GT63 UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027335.1_126	NC_027335.1	NC_027335							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027337.1_123	NC_027337.1	NC_027337							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027339.1_26	NC_027339.1	NC_027339	GT2	"GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)"	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027340.1_30	NC_027340.1	NC_027340							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027340.1_89	NC_027340.1	NC_027340							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027341.1_180	NC_027341.1	NC_027341							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027344.1_102	NC_027344.1	NC_027344	GT63	GT63 UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027349.1_61	NC_027349.1	NC_027349	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027349.1_225	NC_027349.1	NC_027349							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027351.1_75	NC_027351.1	NC_027351							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027351.1_177	NC_027351.1	NC_027351							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027351.1_182	NC_027351.1	NC_027351							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027351.1_227	NC_027351.1	NC_027351							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_11	NC_027352.1	NC_027352	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_11	NC_027352.1	NC_027352	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_16	NC_027352.1	NC_027352							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_78	NC_027352.1	NC_027352	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_89	NC_027352.1	NC_027352	K03091	sigH;RNA polymerase sigma-H factor	MISC	Transcription	Sigma factors	RNA synthesis and degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_89	NC_027352.1	NC_027352	K03091	sigE;RNA polymerase sigma-E factor	MISC	Sigma factors and their control	Sigma factors	Regulation of gene expression	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_89	NC_027352.1	NC_027352	K03091	sigG;RNA polymerase sigma-G factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_89	NC_027352.1	NC_027352	K03091	sigF;RNA polymerase sigma-F factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_148	NC_027352.1	NC_027352	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027352.1_150	NC_027352.1	NC_027352	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
