Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER
P60609	reviewed	LYTR_STAAM	Transcriptional regulatory protein LytR (Sensory transduction protein LytR)	lytR SAV0261	Staphylococcus aureus (strain Mu50 / ATCC 700699)	246		10.1016/s0140-6736(00)04403-2; 10.12688/f1000research.6213.2		3.0	Cytoplasm;DNA-binding;Phosphoprotein;Transcription;Transcription regulation;Two-component regulatory system	KW-0963; KW-0238; KW-0597; KW-0804; KW-0805; KW-0902	PF04397;PF00072;	cd17532;	IPR011006;IPR046947;IPR007492;IPR001789;			PTHR37299:SF1;PTHR37299;
P62179	reviewed	RP35_BACTK	RNA polymerase sigma-35 factor	sigE	Bacillus thuringiensis subsp. kurstaki	239		10.1128/jb.173.12.3846-3854.1991; 10.1128/jb.172.12.6682-6688.1990		3.0	Direct protein sequencing;DNA-binding;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0903; KW-0238; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF04545;	cd06171;	IPR001387;IPR014284;IPR014200;IPR000943;IPR007627;IPR007630;IPR013325;IPR013324;IPR050813;IPR036388;	TIGR02937;TIGR02835;	Sigma-70 factor family	PTHR30376:SF3;PTHR30376;
P62181	reviewed	RP28_BACTK	RNA polymerase sigma-28 factor	sigK	Bacillus thuringiensis subsp. kurstaki	237		10.1128/jb.173.12.3846-3854.1991; 10.1128/jb.172.12.6682-6688.1990		3.0	Direct protein sequencing;DNA-binding;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0903; KW-0238; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF04545;	cd06171;	IPR001387;IPR014284;IPR014209;IPR000943;IPR007627;IPR007630;IPR013325;IPR013324;IPR050813;IPR036388;	TIGR02937;TIGR02846;	Sigma-70 factor family	PTHR30376:SF3;PTHR30376;
P64164	reviewed	FTSK_STAAM	DNA translocase FtsK	ftsK SAV1276	Staphylococcus aureus (strain Mu50 / ATCC 700699)	788		10.1016/s0140-6736(00)04403-2		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P64165	reviewed	FTSK_STAAN	DNA translocase FtsK	ftsK SA1119	Staphylococcus aureus (strain N315)	788		10.1016/s0140-6736(00)04403-2		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P64166	reviewed	FTSK_STRPN	DNA translocase FtsK	ftsK SP_0878	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	767		10.1126/science.1061217		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P64167	reviewed	FTSK_STRR6	DNA translocase FtsK	ftsK spr0781	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	767		10.1128/jb.183.19.5709-5717.2001; 10.1371/journal.pgen.0030117		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P70878	reviewed	SP2AB_HEYCO	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB	Heyndrickxia coagulans (Weizmannia coagulans)	147		10.1016/0378-1119(96)00306-x		3.0	ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF7;PTHR35526;
P70955	reviewed	NATR_BACSU	Transcriptional regulatory protein NatR	natR yccH BSU02740	Bacillus subtilis (strain 168)	233		10.1046/j.1365-2958.1997.2951656.x; 10.1099/00221287-143-8-2775; 10.1038/36786; 10.1128/jb.183.24.7365-7370.2001; 10.1099/mic.0.2006/003673-0		3.0	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	KW-0963; KW-0238; KW-0597; KW-1185; KW-0804; KW-0805; KW-0902	PF04397;PF00072;	cd00156;	IPR011006;IPR046947;IPR007492;IPR001789;			PTHR37299:SF1;PTHR37299;
P71031	reviewed	SSPO_BACSU	Small, acid-soluble spore protein O (SASP O)	sspO cotK BSU17990	Bacillus subtilis (strain 168)	48		10.1128/jb.179.6.1887-1897.1997; 10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(00)00125-6		3.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family	
P71044	reviewed	SP2Q_BACSU	Stage II sporulation protein Q	spoIIQ ywnI BSU36550	Bacillus subtilis (strain 168)	283	P49785	10.1128/jb.179.10.3371-3373.1997; 10.1038/36786; 10.1046/j.1365-2958.1997.3181680.x; 10.1128/jb.182.10.2919-2927.2000; 10.1038/sj.emboj.7600171; 10.1101/gad.1252704; 10.1016/j.cell.2005.02.032; 10.1111/j.1365-2958.2005.04501.x; 10.1111/j.1365-2958.2005.04811.x; 10.1016/j.cell.2006.06.053; 10.1111/j.1365-2958.2007.05887.x; 10.1074/jbc.m708024200; 10.1111/j.1365-2958.2008.06289.x; 10.1073/pnas.0806301105		3.0	3D-structure;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0002; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF01551;	cd12797;	IPR050570;IPR011055;IPR016047;			PTHR21666;PTHR21666:SF283;
P71049	reviewed	SLRR_BACSU	HTH-type transcriptional regulator SlrR	slrR slr yveJ BSU34380	Bacillus subtilis (strain 168)	152		10.1099/13500872-142-11-3089; 10.1038/36786; 10.1111/j.1365-2958.2008.06201.x; 10.1111/j.1365-2958.2008.06369.x		3.0	DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0804; KW-0805	PF01381;PF08671;	cd00093;	IPR050807;IPR001387;IPR010982;IPR010981;IPR036281;			PTHR46797;PTHR46797:SF1;
P71073	reviewed	ADER_BACSU	DNA-binding transcriptional activator AdeR (PucR-type transcriptional activator AdeR)	adeR yukF BSU31920	Bacillus subtilis (strain 168)	422		10.1099/00221287-143-5-1489; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.00778-12		3.0	Activator;DNA-binding;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0010; KW-0238; KW-1185; KW-0749; KW-0804; KW-0805	PF06018;PF17853;PF13556;		IPR051448;IPR041522;IPR029016;IPR025736;IPR042070;IPR010312;		CdaR family	PTHR33744;PTHR33744:SF15;
P81101	reviewed	RRF_BACSU	Ribosome-recycling factor (RRF) (Ribosome-releasing factor) (Vegetative protein 12B) (VEG12B)	frr BSU16520	Bacillus subtilis (strain 168)	185		10.1038/36786; 10.1128/jb.178.15.4611-4619.1996; 10.1271/bbb.67.2245		3.0	Cytoplasm;Direct protein sequencing;Protein biosynthesis;Reference proteome	KW-0963; KW-0903; KW-0648; KW-1185	PF01765;	cd00520;	IPR002661;IPR023584;IPR036191;	TIGR00496;	RRF family	PTHR20982:SF3;PTHR20982;
P81185	reviewed	PCCA_MYXXA	Propionyl-CoA carboxylase alpha chain (PCCase) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase)		Myxococcus xanthus	30		10.1007/s002030050631		3.0	ATP-binding;Biotin;Direct protein sequencing;Fatty acid biosynthesis;Fatty acid metabolism;Ligase;Lipid biosynthesis;Lipid metabolism;Nucleotide-binding	KW-0067; KW-0092; KW-0903; KW-0275; KW-0276; KW-0436; KW-0444; KW-0443; KW-0547	PF00289;		IPR005481;IPR011764;IPR016185;			
P83222	reviewed	NUC34_STRAT	34 kDa extracellular nuclease (EC 3.-.-.-)		Streptomyces antibioticus	9		10.1074/jbc.274.29.20366		3.0	Direct protein sequencing;Hydrolase;Magnesium;Manganese;Nuclease;Secreted	KW-0903; KW-0378; KW-0460; KW-0464; KW-0540; KW-0964						
P84583	reviewed	SAS1_BACIU	Small, acid-soluble spore protein 1 (SASP-1)		Bacillus subtilis	70		10.1002/jms.668		3.0	Direct protein sequencing;DNA-binding;Sporulation	KW-0903; KW-0238; KW-0749	PF00269;		IPR001448;IPR018126;IPR050847;IPR038300;		Alpha/beta-type SASP family	PTHR36107;PTHR36107:SF1;
P84584	reviewed	SAS2_BACIU	Small, acid-soluble spore protein 2 (SASP-2)		Bacillus subtilis	71		10.1002/jms.668		3.0	Direct protein sequencing;DNA-binding;Sporulation	KW-0903; KW-0238; KW-0749	PF00269;		IPR001448;IPR018126;IPR050847;IPR038300;		Alpha/beta-type SASP family	PTHR36107;PTHR36107:SF1;
P84585	reviewed	SASG_BACIU	Small, acid-soluble spore protein gamma-type (SASP-gamma)		Bacillus subtilis	82		10.1002/jms.668		3.0	Direct protein sequencing;Repeat;Sporulation	KW-0903; KW-0677; KW-0749	PF04259;		IPR006341;	TIGR01442;	Gamma-type SASP family	
P95758	reviewed	OBG_STRGR	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg	Streptomyces griseus	478		10.1128/jb.179.1.170-179.1997; 10.1016/j.devcel.2005.02.002		3.0	Cytoplasm;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding	KW-0963; KW-0342; KW-0378; KW-0460; KW-0479; KW-0547	PF09269;PF01018;PF01926;	cd01898;	IPR031167;IPR006073;IPR014100;IPR036346;IPR006074;IPR006169;IPR036726;IPR045086;IPR015349;IPR027417;	TIGR02729;TIGR03595;	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	PTHR11702;PTHR11702:SF31;
P96315	reviewed	CR1AF_BACTU	Pesticidal crystal protein Cry1Af (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(f))	cry1Af cryIA(f) icp	Bacillus thuringiensis	911				3.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843	PF17997;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR041587;IPR008979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	
P96601	reviewed	DCTS_BACSU	Probable C4-dicarboxylate sensor kinase (EC 2.7.13.3)	dctS ydbF BSU04450	Bacillus subtilis (strain 168)	535		10.1038/36786; 10.1099/00221287-146-2-263; 10.1128/jb.183.24.7365-7370.2001		3.0	ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0067; KW-1003; KW-0418; KW-0472; KW-0547; KW-0597; KW-1185; KW-0808; KW-0812; KW-1133; KW-0902	PF02518;PF17203;PF14689;	cd00130;	IPR036890;IPR003594;IPR005467;IPR000014;IPR035965;IPR033463;IPR029151;IPR004358;IPR016120;IPR039506;			PTHR43547:SF10;PTHR43547;
P96649	reviewed	RAPI_BACSU	Response regulator aspartate phosphatase I (EC 3.1.3.-)	rapI yddL BSU05010	Bacillus subtilis (strain 168)	391		10.1038/36786; 10.1073/pnas.0505835102; 10.1128/jb.01143-10; 10.1371/journal.pbio.1001512		3.0	3D-structure;Cytoplasm;Hydrolase;Protein phosphatase;Reference proteome;Repeat;TPR repeat	KW-0002; KW-0963; KW-0378; KW-0904; KW-1185; KW-0677; KW-0802	PF18801;PF13424;		IPR051476;IPR011990;IPR019734;		Rap family	PTHR46630;PTHR46630:SF1;
P9WF45	reviewed	WHIA_MYCTU	Probable cell division protein WhiA	whiA Rv1423	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	327		10.1038/31159; 10.1074/mcp.m111.011445; 10.1016/j.ygeno.2021.12.001		3.0	Cell cycle;Cell division;Direct protein sequencing;DNA-binding;Reference proteome	KW-0131; KW-0132; KW-0903; KW-0238; KW-1185	PF02650;PF14527;PF10298;		IPR027434;IPR018478;IPR003802;IPR023054;IPR039518;	TIGR00647;	WhiA family	PTHR37307;PTHR37307:SF1;
P9WIJ9	reviewed	PARB_MYCTU	Probable chromosome-partitioning protein ParB	parB Rv3917c MTV028.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344		10.1038/31159; 10.1186/1752-0509-2-109; 10.1074/mcp.m111.011445		3.0	Chromosome partition;DNA-binding;Reference proteome	KW-0159; KW-0238; KW-1185	PF17762;PF02195;	cd16393;	IPR050336;IPR041468;IPR004437;IPR003115;IPR036086;	TIGR00180;	ParB family	PTHR33375;PTHR33375:SF1;
P9WLT1	reviewed	Y1708_MYCTU	Uncharacterized protein Rv1708	Rv1708	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	318		10.1038/31159; 10.1046/j.1365-2958.2003.03425.x; 10.1099/mic.0.28762-0; 10.1074/mcp.m111.011445		3.0	ATP-binding;Nucleotide-binding;Reference proteome	KW-0067; KW-0547; KW-1185	PF13614;	cd02042;	IPR025669;IPR050678;IPR027417;		ParA family	PTHR13696;PTHR13696:SF90;
P9WNA2	reviewed	FTSK_MYCTO	DNA translocase FtsK	ftsK MT2819	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	831		10.1128/jb.184.19.5479-5490.2002		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0812; KW-1133	PF13491;PF17854;PF09397;PF01580;	cd01127;	IPR050206;IPR025199;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P9WNA3	reviewed	FTSK_MYCTU	DNA translocase FtsK	ftsK Rv2748c MTV002.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	831		10.1038/31159; 10.1186/1752-0509-2-109; 10.1074/mcp.m111.011445		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0812; KW-1133	PF13491;PF17854;PF09397;PF01580;	cd01127;	IPR050206;IPR025199;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P9WNA9	reviewed	ECCC3_MYCTU	ESX-3 secretion system protein EccC3 (ESX conserved component C3) (Type VII secretion system protein EccC3) (T7SS protein EccC3)	eccC3 Rv0284	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1330		10.1038/31159; 10.1128/iai.70.7.3371-3381.2002; 10.1128/jb.01190-06; 10.1186/1752-0509-2-109; 10.1128/jb.00756-09; 10.1371/journal.ppat.1000507; 10.1074/mcp.m111.011445; 10.1371/journal.pone.0078351		3.0	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0067; KW-0997; KW-1003; KW-0472; KW-0547; KW-1185; KW-0677; KW-0812; KW-1133; KW-0813	PF01580;		IPR003593;IPR023836;IPR023837;IPR050206;IPR002543;IPR027417;	TIGR03924;TIGR03925;		PTHR22683;PTHR22683:SF1;
Q00777	reviewed	P5CR3_BACSU	Pyrroline-5-carboxylate reductase 3 (P5C reductase 3) (P5CR 3) (EC 1.5.1.2) (PCA reductase 3)	proG ykeA yzcA BSU12910	Bacillus subtilis (strain 168)	272		10.1038/36786; 10.1111/j.1365-2958.1991.tb00814.x; 10.1128/jb.183.14.4389-4392.2001		3.0	Amino-acid biosynthesis;Cytoplasm;NADP;Oxidoreductase;Proline biosynthesis;Reference proteome	KW-0028; KW-0963; KW-0521; KW-0560; KW-0641; KW-1185	PF03807;PF14748;		IPR008927;IPR036291;IPR028939;IPR029036;IPR000304;		Pyrroline-5-carboxylate reductase family	PTHR11645;PTHR11645:SF53;
Q01463	reviewed	MINC_BACSU	Septum site-determining protein MinC	minC BSU28000	Bacillus subtilis (strain 168)	226	Q01464	10.1128/jb.174.21.6729-6742.1992; 10.1111/j.1365-2958.1993.tb01151.x; 10.1128/jb.174.21.6717-6728.1992; 10.1038/36786; 10.1128/jb.180.20.5327-5333.1998		3.0	3D-structure;Cell cycle;Cell division;Reference proteome;Septation	KW-0002; KW-0131; KW-0132; KW-1185; KW-0717	PF03775;PF22642;		IPR016098;IPR013033;IPR036145;IPR055219;IPR005526;	TIGR01222;	MinC family	PTHR34108;PTHR34108:SF1;
Q01620	reviewed	KHPB_BACSU	RNA-binding protein KhpB (RNA-binding protein EloR)	khpB eloR jag BSU41030	Bacillus subtilis (strain 168)	208		10.1099/00221287-138-12-2609; 10.1111/j.1365-2958.1992.tb01510.x; 10.1093/dnares/1.1.1; 10.1038/36786		3.0	Cell shape;Cell wall biogenesis/degradation;Chaperone;Cytoplasm;Reference proteome;RNA-binding	KW-0133; KW-0961; KW-0143; KW-0963; KW-1185; KW-0694	PF14804;PF13083;PF01424;	cd02414;cd02644;	IPR038008;IPR038247;IPR004087;IPR015946;IPR039247;IPR032782;IPR001374;IPR036867;IPR034079;	NF041568;	KhpB RNA-binding protein family	PTHR35800;PTHR35800:SF1;
Q03415	reviewed	ENP1_LYSSH	Gamma-D-glutamyl-L-diamino acid endopeptidase 1 (EC 3.4.19.11) (Endopeptidase I) (Gamma-D-glutamyl-L-diamino acid endopeptidase I) (Gamma-D-glutamyl-meso-diaminopimelate peptidase I)		Lysinibacillus sphaericus (Bacillus sphaericus)	396		10.1042/bj2920563; 10.1111/j.1432-1033.1985.tb08873.x		3.0	Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Metal-binding;Metalloprotease;Protease;Repeat;Sporulation;Zinc	KW-0961; KW-0903; KW-0378; KW-0479; KW-0482; KW-0645; KW-0677; KW-0749; KW-0862	PF01476;PF00246;	cd00118;cd06229;	IPR034274;IPR018392;IPR036779;IPR000834;		Peptidase M14 family	PTHR11705:SF91;PTHR11705;
Q03744	reviewed	CR1AD_BACTA	Pesticidal crystal protein Cry1Ad (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(d))	cry1Ad cryIA(d)	Bacillus thuringiensis subsp. aizawai	1179				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
Q03745	reviewed	CR1EB_BACTA	Pesticidal crystal protein Cry1Eb (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIE(b))	cry1Eb cryIE(b)	Bacillus thuringiensis subsp. aizawai	1174				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
Q03746	reviewed	CR1FA_BACTA	Pesticidal crystal protein Cry1Fa (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIF(a))	cry1Fa cryIF cryIF(a)	Bacillus thuringiensis subsp. aizawai	1174		10.1128/jb.173.13.3966-3976.1991		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
Q03748	reviewed	CR1AE_BACTL	Pesticidal crystal protein Cry1Ae (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(e))	cry1Ae cryIA(e) endI	Bacillus thuringiensis subsp. alesti	1181		10.1128/jb.173.20.6635-6638.1991		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
Q03749	reviewed	CR7AA_BACTU	Pesticidal crystal protein Cry7Aa (129 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIA(a))	cry7Aa cryIIIc cryVIIA(a)	Bacillus thuringiensis	1138		10.1128/aem.58.8.2536-2542.1992		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
Q04470	reviewed	CT2AA_BACTY	Type-2Aa cytolytic delta-endotoxin (29 kDa cytolytic toxin)	cyt2Aa1 cytB	Bacillus thuringiensis subsp. kyushuensis	259		10.1006/jmbi.1993.1037; 10.1006/jmbi.1996.0152		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF01338;		IPR035918;IPR001615;		Cyt1/cyt2 endotoxin family	
Q04810	reviewed	DPAB_BACSU	Dipicolinate synthase subunit B (DPA synthase subunit B) (EC 1.3.1.-) (Spore dipicolinate synthase subunit B) (Stage V sporulation protein FB)	dpaB spoVFB BSU16740 orfX	Bacillus subtilis (strain 168)	200		10.1016/s0021-9258(18)98372-9; 10.1006/jmbi.1993.1403; 10.1038/36786		3.0	NADP;Oxidoreductase;Reference proteome;Sporulation	KW-0521; KW-0560; KW-1185; KW-0749	PF02441;		IPR014214;IPR036551;IPR003382;	TIGR02852;		
Q06239	reviewed	VANR_ENTFC	Regulatory protein VanR	vanR	Enterococcus faecium (Streptococcus faecium)	231		10.1128/jb.175.1.117-127.1993; 10.1128/jb.174.8.2582-2591.1992; 10.1016/0378-1097(92)90533-t		3.0	Activator;Antibiotic resistance;Cell wall biogenesis/degradation;Cytoplasm;DNA-binding;Phosphoprotein;Plasmid;Repressor;Transcription;Transcription regulation;Two-component regulatory system	KW-0010; KW-0046; KW-0961; KW-0963; KW-0238; KW-0597; KW-0614; KW-0678; KW-0804; KW-0805; KW-0902	PF00072;PF00486;	cd17574;cd00383;	IPR011006;IPR001867;IPR016032;IPR001789;IPR039420;IPR036388;			PTHR48111;PTHR48111:SF2;
Q06798	reviewed	RL332_BACSU	Large ribosomal subunit protein bL33B (50S ribosomal protein L33 2)	rpmGB rpmG rpmG2 BSU00990	Bacillus subtilis (strain 168)	49		10.1111/j.1365-2958.1993.tb00910.x; 10.1038/36786; 10.1007/bf00270472; 10.1271/bbb.67.2245		3.0	Antibiotic resistance;Reference proteome;Ribonucleoprotein;Ribosomal protein	KW-0046; KW-1185; KW-0687; KW-0689	PF00471;		IPR001705;IPR018264;IPR038584;IPR011332;	TIGR01023;	Bacterial ribosomal protein bL33 family	PTHR43168:SF5;PTHR43168;
Q06823	reviewed	SP21_STIAD	Spore protein SP21	hspA STAUR_4298 STIAU_6511	Stigmatella aurantiaca (strain DW4/3-1)	169		10.1128/jb.175.22.7479-7482.1993; 10.1093/molbev/msq292; 10.1128/jb.175.3.905-908.1993		3.0	Direct protein sequencing;Sporulation;Stress response	KW-0903; KW-0749; KW-0346	PF00011;	cd06464;	IPR002068;IPR008978;IPR031107;		Small heat shock protein (HSP20) family	PTHR11527:SF175;PTHR11527;
Q07765	reviewed	DEVR_MYXXD	CRISPR-associated protein Cas7/Cst2/DevR (CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/Tneap) (Fruiting body developmental protein R)	devR cas7 MXAN_7262	Myxococcus xanthus (strain DK1622)	302		10.1128/jb.175.22.7450-7462.1993; 10.1073/pnas.0607335103; 10.1128/jb.00187-07		3.0	Antiviral defense;Fruiting body;Reference proteome;Sporulation	KW-0051; KW-0293; KW-1185; KW-0749	PF01905;	cd09650;	IPR016581;IPR013414;IPR010154;	TIGR02585;TIGR01875;	CRISPR-associated protein Cas7/Cst2/DevR family, Subtype I-B/Tneap subfamily	
Q07766	reviewed	DEVS_MYXXD	CRISPR-associated protein Cas5 (Fruiting body developmental protein S)	devS cas5 MXAN_7261	Myxococcus xanthus (strain DK1622)	214		10.1128/jb.175.22.7450-7462.1993; 10.1073/pnas.0607335103; 10.1128/jb.00187-07		3.0	Antiviral defense;Fruiting body;Reference proteome;Sporulation	KW-0051; KW-0293; KW-1185; KW-0749		cd09688;	IPR013415;IPR013422;	TIGR02586;TIGR02593;	CRISPR-associated protein Cas5 family	
Q08430	reviewed	KINB_BACSU	Sporulation kinase B (EC 2.7.13.3)	kinB BSU31450	Bacillus subtilis (strain 168)	428		10.1111/j.1365-2958.1993.tb01204.x; 10.1099/00221287-143-8-2769; 10.1038/36786; 10.1099/mic.0.027839-0		3.0	ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Sporulation;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0067; KW-1003; KW-0418; KW-0472; KW-0547; KW-0597; KW-1185; KW-0749; KW-0808; KW-0812; KW-1133; KW-0902	PF02518;PF00512;	cd00082;	IPR036890;IPR003594;IPR005467;IPR003661;IPR036097;IPR004358;			PTHR43065:SF10;PTHR43065;
